"","Beer","Beer_ID","ABV","IBU","Brewery_id","Style","Ounces","Brewery","City","state"
"78","Whitsun",390,0.062,17,542,"American Pale Wheat Ale",12,"Arcadia Brewing Company","Battle Creek","MI"
"79","Quakertown Stout",1333,0.092,50,427,"American Double / Imperial Stout",12,"Armadillo Ale Works","Denton","TX"
"80","Greenbelt Farmhouse Ale",1332,0.051,20,427,"Saison / Farmhouse Ale",12,"Armadillo Ale Works","Denton","TX"
"81","Mo's Gose",1172,0.052,10,462,"Gose",16,"Armstrong Brewing Company","South San Francisco","CA"
"82","Green Bullet Organic India Pale Ale",1322,0.07,45,430,"American IPA",16,"Asher Brewing Company","Boulder","CO"
"83","Rocket Girl",550,0.032,27,529,"Kölsch",12,"Asheville Brewing Company","Asheville","NC"
"84","Ninja Porter",429,0.053,26,529,"American Porter",12,"Asheville Brewing Company","Asheville","NC"
"85","Shiva IPA",428,0.06,69,529,"American IPA",12,"Asheville Brewing Company","Asheville","NC"
"86","This Season's Blonde",597,0.056,27,524,"American Blonde Ale",12,"Aspen Brewing Company","Aspen","CO"
"87","Independence Pass Ale",596,0.07,67,524,"American IPA",12,"Aspen Brewing Company","Aspen","CO"
"88","Trolley Stop Stout",1580,0.057,40,375,"American Stout",12,"Astoria Brewing Company","Astoria","OR"
"89","Bitter Bitch Imperial IPA",980,0.082,138,375,"American Double / Imperial IPA",12,"Astoria Brewing Company","Astoria","OR"
"90","Poop Deck Porter",979,0.062,35,375,"American Porter",12,"Astoria Brewing Company","Astoria","OR"
"91","Old Red Beard Amber Ale",978,0.06,35,375,"American Amber / Red Ale",12,"Astoria Brewing Company","Astoria","OR"
"92","Hop A-Peel",2503,0.075,115,73,"American Double / Imperial IPA",16,"Atwater Brewery","Detroit","MI"
"93","Vanilla Java Porter",2502,0.055,12,73,"American Porter",16,"Atwater Brewery","Detroit","MI"
"94","Dirty Blonde Ale",534,0.045,8,73,"American Blonde Ale",12,"Atwater Brewery","Detroit","MI"
"95","Grand Circus IPA",528,0.05,62,73,"American IPA",12,"Atwater Brewery","Detroit","MI"
"96","Atwater's Lager",527,0.05,12,73,"Munich Helles Lager",12,"Atwater Brewery","Detroit","MI"
"97","Avery Joe’s Premium American Pilsner",146,0.047,42,38,"German Pilsener",12,"Avery Brewing Company","Boulder","CO"
"98","White Rascal",108,0.056,10,38,"Witbier",12,"Avery Brewing Company","Boulder","CO"
"99","Avery India Pale Ale",107,0.063,69,38,"American IPA",12,"Avery Brewing Company","Boulder","CO"
"100","Ellie’s Brown Ale",106,0.055,17,38,"American Brown Ale",12,"Avery Brewing Company","Boulder","CO"
"101","Pumpkin Beast",1620,0.062,17,361,"Pumpkin Ale",12,"Aviator Brewing Company","Fuquay-Varina","NC"
"102","OktoberBeast",1579,0.072,22,361,"Märzen / Oktoberfest",12,"Aviator Brewing Company","Fuquay-Varina","NC"
"103","Mad Beach",1228,0.048,23,361,"American Pale Wheat Ale",12,"Aviator Brewing Company","Fuquay-Varina","NC"
"104","Devils Tramping Ground Tripel",704,0.092,5,361,"Tripel",12,"Aviator Brewing Company","Fuquay-Varina","NC"
"105","Hot Rod Red",702,0.061,41,361,"American Amber / Red Ale",12,"Aviator Brewing Company","Fuquay-Varina","NC"
"106","Naked Pig Pale Ale",1875,0.06,43,287,"American Pale Ale (APA)",12,"Back Forty Beer Company","Gadsden","AL"
"107","Topcutter India Pale Ale",966,0.068,70,484,"American IPA",12,"Bale Breaker Brewing Company","Yakima","WA"
"108","Field 41 Pale Ale",965,0.044,38,484,"American Pale Ale (APA)",12,"Bale Breaker Brewing Company","Yakima","WA"
"109","Even Keel",2105,0.038,40,35,"American IPA",12,"Ballast Point Brewing Company","San Diego","CA"
"110","Ballast Point Pale Ale",1401,0.052,23,35,"Kölsch",12,"Ballast Point Brewing Company","San Diego","CA"
"111","Big Eye India Pale Ale",1400,0.07,75,35,"American IPA",12,"Ballast Point Brewing Company","San Diego","CA"
"112","Sculpin IPA",1018,0.07,70,35,"American IPA",12,"Ballast Point Brewing Company","San Diego","CA"
"113","Banner American Rye",1644,0.045,20,319,"Rye Beer",12,"Banner Beer Company","Williamsburg","MA"
"114","Banner American Ale",1643,0.035,45,319,"American Amber / Red Ale",12,"Banner Beer Company","Williamsburg","MA"
"115","Thai.p.a",2618,0.07,46,21,"American IPA",16,"Bare Hands Brewery","Granger","IN"
"116","Barrio Blanco",2005,0.06,60,252,"American IPA",12,"Barrio Brewing Company","Tucson","AZ"
"117","Hop in the ‘Pool Helles",2404,0.049,22,117,"American Pilsner",12,"Base Camp Brewing Co.","Portland","OR"
"118","Ultra Gnar Gnar IPA",2323,0.067,60,117,"American IPA",12,"Base Camp Brewing Co.","Portland","OR"
"119","In-Tents India Pale Lager",2189,0.068,62,117,"American Pale Lager",12,"Base Camp Brewing Co.","Portland","OR"
"120","Lost Meridian Wit",2188,0.05,20,117,"Witbier",12,"Base Camp Brewing Co.","Portland","OR"
"121","Celestial Meridian Cascadian Dark Lager",2187,0.051,45,117,"Euro Dark Lager",12,"Base Camp Brewing Co.","Portland","OR"
"122","Wagon Party",1966,0.054,55,259,"California Common / Steam Beer",12,"Bauhaus Brew Labs","Minneapolis","MN"
"123","Sky-Five",1965,0.067,70,259,"American IPA",12,"Bauhaus Brew Labs","Minneapolis","MN"
"124","Stargrazer",1964,0.05,28,259,"Schwarzbier",12,"Bauhaus Brew Labs","Minneapolis","MN"
"125","Wonderstuff",1963,0.054,48,259,"German Pilsener",12,"Bauhaus Brew Labs","Minneapolis","MN"
"126","On the Count of 3 (2015)",1778,0.07,42,293,"Hefeweizen",16,"Baxter Brewing Company","Lewiston","ME"
"127","Amber Road",533,0.055,35,293,"American Amber / Red Ale",12,"Baxter Brewing Company","Lewiston","ME"
"128","Pamola Xtra Pale Ale",183,0.049,28,293,"American Pale Ale (APA)",12,"Baxter Brewing Company","Lewiston","ME"
"129","Stowaway IPA",182,0.069,69,293,"American IPA",12,"Baxter Brewing Company","Lewiston","ME"
"130","Hoptopus Double IPA",1806,0.088,108,307,"American Double / Imperial IPA",16,"Beach Brewing Company","Virginia Beach","VA"
"131","Watermelon Ale",2435,0.05,10,104,"Fruit / Vegetable Beer",12,"Beer Works Brewery","Lowell","MA"
"132","Fenway American Pale Ale",2423,0.058,45,104,"American Pale Ale (APA)",12,"Beer Works Brewery","Lowell","MA"
"133","Back Bay IPA",2420,0.068,85,104,"American IPA",12,"Beer Works Brewery","Lowell","MA"
"134","Bunker Hill Blueberry Ale ",2419,0.048,16,104,"Other",12,"Beer Works Brewery","Lowell","MA"
"135","Moar",2558,0.044,44,54,"English India Pale Ale (IPA)",12,"Bent Brewstillery","Roseville","MN"
"136","Nordic Blonde",2556,0.057,27,54,"American Blonde Ale",12,"Bent Brewstillery","Roseville","MN"
"137","Harness the Winter",2410,0.072,87,76,"American IPA",12,"Bent Paddle Brewing Company","Duluth","MN"
"138","14° ESB ",1902,0.056,32,76,"Extra Special / Strong Bitter (ESB)",12,"Bent Paddle Brewing Company","Duluth","MN"
"139","Bent Hop Golden IPA",1901,0.062,68,76,"American IPA",12,"Bent Paddle Brewing Company","Duluth","MN"
"140","Bent Paddle Black Ale",1261,0.06,34,76,"American Black Ale",12,"Bent Paddle Brewing Company","Duluth","MN"
"141","Venture Pils",1253,0.05,38,76,"German Pilsener",12,"Bent Paddle Brewing Company","Duluth","MN"
"142","Lost Sailor IPA",1900,0.055,40,279,"English India Pale Ale (IPA)",12,"Berkshire Brewing Company","South Deerfield","MA"
"143","Steel Rail Extra Pale Ale",1317,0.053,20,279,"American Pale Ale (APA)",12,"Berkshire Brewing Company","South Deerfield","MA"
"144","Aprè Shred",2104,0.081,17,221,"American Strong Ale",16,"Big Choice Brewing","Broomfield","CO"
"145","Hemlock Double IPA",1762,0.095,104,221,"American Double / Imperial IPA",12,"Big Choice Brewing","Broomfield","CO"
"146","Disconnected Red",1067,0.067,85,221,"American Amber / Red Ale",16,"Big Choice Brewing","Broomfield","CO"
"147","Dark Star",2639,0.08,54,9,"American Stout",16,"Big Lake Brewing","Holland","MI"
"148","Galaxy IPA",2585,0.075,60,41,"American IPA",16,"Big Muddy Brewing","Murphysboro","IL"
"149","Big River Pilsner",643,0.05,32,520,"Czech Pilsener",12,"Big River Brewing Company","Chattanooga","TN"
"150","House Brand IPA",632,0.06,55,520,"American IPA",12,"Big River Brewing Company","Chattanooga","TN"
"151","Big Sky IPA",1714,0.062,65,337,"American IPA",12,"Big Sky Brewing Company","Missoula","MT"
"152","Scape Goat Pale Ale",1713,0.05,40,337,"English Pale Ale",12,"Big Sky Brewing Company","Missoula","MT"
"153","Montana Trout Slayer Ale",1712,0.05,35,337,"American Pale Wheat Ale",12,"Big Sky Brewing Company","Missoula","MT"
"154","Moose Drool Brown Ale",1711,0.051,26,337,"American Brown Ale",12,"Big Sky Brewing Company","Missoula","MT"
"155","Powder Hound Winter Ale",1456,0.072,60,337,"English Strong Ale",12,"Big Sky Brewing Company","Missoula","MT"
"156","Moose Drool Brown Ale (2011)",767,0.051,26,337,"American Brown Ale",12,"Big Sky Brewing Company","Missoula","MT"
"157","Montana Trout Slayer Ale (2012)",766,0.05,35,337,"American Pale Wheat Ale",12,"Big Sky Brewing Company","Missoula","MT"
"158","Big Sky IPA (2012)",579,0.062,65,337,"American IPA",12,"Big Sky Brewing Company","Missoula","MT"
"159","Scape Goat Pale Ale (2010)",159,0.05,40,337,"English Pale Ale",12,"Big Sky Brewing Company","Missoula","MT"
"160","Montana Trout Slayer Ale (2009)",35,0.05,35,337,"American Pale Wheat Ale",12,"Big Sky Brewing Company","Missoula","MT"
"161","Moose Drool Brown Ale (2009)",34,0.051,26,337,"American Brown Ale",12,"Big Sky Brewing Company","Missoula","MT"
"162","Arcus IPA",2096,0.069,81,222,"American IPA",12,"Big Storm Brewing Company","Odessa","FL"
"163","Wavemaker",2095,0.058,38,222,"American Amber / Red Ale",12,"Big Storm Brewing Company","Odessa","FL"
"164","Jack Pine Savage",1257,0.053,43,445,"American Pale Ale (APA)",16,"Big Wood Brewery","Vadnais Heights","MN"
"165","Forest Fire Imperial Smoked Rye",1256,0.099,85,445,"Rye Beer",16,"Big Wood Brewery","Vadnais Heights","MN"
"166","Bad Axe Imperial IPA",1255,0.098,76,445,"American Double / Imperial IPA",16,"Big Wood Brewery","Vadnais Heights","MN"
"167","Morning Wood",986,0.055,35,445,"Oatmeal Stout",16,"Big Wood Brewery","Vadnais Heights","MN"
"168","Bark Bite IPA",985,0.066,50,445,"American IPA",16,"Big Wood Brewery","Vadnais Heights","MN"
"169","Jalapeno Pale Ale",2508,0.055,45,71,"American Pale Ale (APA)",16,"Birdsong Brewing Company","Charlotte","NC"
"170","Saucy Intruder",2620,0.072,75,19,"Rye Beer",16,"Black Acre Brewing Co.","Indianapolis","IN"
"171","Deception",2412,0.045,16,113,"American Blonde Ale",12,"Black Market Brewing Company","Temecula","CA"
"172","Blackmarket Rye IPA",1898,0.075,35,113,"American IPA",12,"Black Market Brewing Company","Temecula","CA"
"173","Black Market Hefeweizen",1897,0.05,8,113,"Hefeweizen",12,"Black Market Brewing Company","Temecula","CA"
"174","Aftermath Pale Ale",1896,0.058,44,113,"American Pale Ale (APA)",12,"Black Market Brewing Company","Temecula","CA"
"175","American India Red Ale",1850,0.071,83,295,"American Strong Ale",12,"Black Shirt Brewing Company","Denver","CO"
"176","American Red Porter",1849,0.071,45,295,"American Porter",12,"Black Shirt Brewing Company","Denver","CO"
"177","American Red Saison",1848,0.078,34,295,"Saison / Farmhouse Ale",12,"Black Shirt Brewing Company","Denver","CO"
"178","Colorado Red Ale",1847,0.066,44,295,"American Amber / Red Ale",12,"Black Shirt Brewing Company","Denver","CO"
"179","Saddle Bronc Brown Ale",2485,0.048,16,80,"American Brown Ale",12,"Black Tooth Brewing Company","Sheridan","WY"
"180","Bomber Mountain Amber Ale",2484,0.046,20,80,"American Amber / Red Ale",12,"Black Tooth Brewing Company","Sheridan","WY"
"181","Nordskye ",2634,0.048,47,13,"American IPA",12,"Blackrocks Brewery","Marquette","MI"
"182","North Third Stout",2153,0.06,30,13,"Foreign / Export Stout",12,"Blackrocks Brewery","Marquette","MI"
"183","51K IPA",1481,0.07,51,13,"American IPA",12,"Blackrocks Brewery","Marquette","MI"
"184","1327 Pod's ESB",888,0.056,37,381,"Extra Special / Strong Bitter (ESB)",12,"Blue Blood Brewing Company","Lincoln","NE"
"185","1327 Pod's ESB",886,0.056,37,381,"Extra Special / Strong Bitter (ESB)",12,"Blue Blood Brewing Company","Lincoln","NE"
"186","1327 Pod's ESB",612,0.056,37,381,"Extra Special / Strong Bitter (ESB)",12,"Blue Blood Brewing Company","Lincoln","NE"
"187","834 Happy As Ale",611,0.046,35,381,"American Pale Ale (APA)",12,"Blue Blood Brewing Company","Lincoln","NE"
"188","Quarter Mile Double IPA",1812,0.08,80,305,"American Double / Imperial IPA",12,"Blue Hills Brewery","Canton","MA"
"189","Full Nelson Pale Ale",1547,0.059,60,383,"American Pale Ale (APA)",12,"Blue Mountain Brewery","Afton","VA"
"190","Steel Wheels ESB",1546,0.065,30,383,"Extra Special / Strong Bitter (ESB)",12,"Blue Mountain Brewery","Afton","VA"
"191","Blue Mountain Classic Lager",1545,0.053,22,383,"Euro Pale Lager",12,"Blue Mountain Brewery","Afton","VA"
"192","Full Nelson Pale Ale (2010)",119,0.059,60,383,"American Pale Ale (APA)",12,"Blue Mountain Brewery","Afton","VA"
"193","Kölsch 151",1408,0.049,16,415,"Kölsch",12,"Blue Mountain Brewery","Arrington","VA"
"194","Blue Point White IPA",692,0.06,40,490,"American White IPA",12,"Blue Point Brewing Company","Patchogue","NY"
"195","Blue Point Summer Ale",667,0.044,16,490,"American Blonde Ale",12,"Blue Point Brewing Company","Patchogue","NY"
"196","Toasted Lager",665,0.055,28,490,"Vienna Lager",12,"Blue Point Brewing Company","Patchogue","NY"
"197","Longhop IPA",1891,0.042,30,282,"American IPA",16,"Bolero Snort Brewery","Ridgefield Park","NJ"
"198","Lucky Buck",1890,0.04,34,282,"Irish Dry Stout",16,"Bolero Snort Brewery","Ridgefield Park","NJ"
"199","Bomb Lager (Old Recipe)",513,0.045,27,526,"Munich Helles Lager",12,"Bomb Beer Company","New York","NY"
"200","Firestarter India Pale Ale",2422,0.066,72,108,"American IPA",12,"Bonfire Brewing Company","Eagle","CO"
"201","Kilt Dropper Scotch Ale",1727,0.075,22,108,"Scotch Ale / Wee Heavy",16,"Bonfire Brewing Company","Eagle","CO"
"202","Wood Splitter Pilsner",1614,0.048,30,108,"Czech Pilsener",16,"Bonfire Brewing Company","Eagle","CO"
"203","Gyptoberfest",1613,0.056,26,108,"Märzen / Oktoberfest",12,"Bonfire Brewing Company","Eagle","CO"
"204","Farmer Wirtz India Pale Ale",1549,0.07,94,108,"English India Pale Ale (IPA)",16,"Bonfire Brewing Company","Eagle","CO"
"205","Screaming Eagle Special Ale ESB",1360,0.048,38,108,"Extra Special / Strong Bitter (ESB)",12,"Bonfire Brewing Company","Eagle","CO"
"206","Kindler Pale Ale",1183,0.053,45,108,"American Pale Ale (APA)",12,"Bonfire Brewing Company","Eagle","CO"
"207","Firestarter India Pale Ale",633,0.066,72,108,"American IPA",16,"Bonfire Brewing Company","Eagle","CO"
"208","Noche Dulce",2062,0.071,16,232,"American Porter",16,"Borderlands Brewing Company","Tucson","AZ"
"209","Porch Rocker",1830,0.045,8,301,"Radler",12,"Boston Beer Company","Boston","MA"
"210","Rebel IPA",1629,0.065,45,301,"American IPA",16,"Boston Beer Company","Boston","MA"
"211","Boston Lager",1349,0.049,30,301,"Vienna Lager",16,"Boston Beer Company","Boston","MA"
"212","Boston Lager",1310,0.049,30,301,"Vienna Lager",12,"Boston Beer Company","Boston","MA"
"213","Samuel Adams Octoberfest",1281,0.053,15,301,"Märzen / Oktoberfest",12,"Boston Beer Company","Boston","MA"
"214","Samuel Adams Summer Ale",1144,0.053,7,301,"American Pale Wheat Ale",12,"Boston Beer Company","Boston","MA"
"215","Boston Lager",1143,0.049,30,301,"Vienna Lager",12,"Boston Beer Company","Boston","MA"
"216","Hazed & Infused",1395,0.049,35,418,"American Pale Ale (APA)",12,"Boulder Beer Company","Boulder","CO"
"217","Hoopla Pale Ale",808,0.057,35,418,"American Pale Ale (APA)",12,"Boulder Beer Company","Boulder","CO"
"218","Hazed & Infused (2010)",81,0.049,35,418,"American Pale Ale (APA)",12,"Boulder Beer Company","Boulder","CO"
"219","Heavy Lifting",2596,0.062,80,32,"American IPA",12,"Boulevard Brewing Company","Kansas City","MO"
"220","Plum St. Porter",2107,0.06,52,220,"American Porter",12,"Bozeman Brewing Company","Bozeman","MT"
"221","Plum St. Porter",1573,0.057,52,220,"American Porter",12,"Bozeman Brewing Company","Bozeman","MT"
"222","Bozone HopZone IPA",1289,0.07,80,220,"American IPA",12,"Bozeman Brewing Company","Bozeman","MT"
"223","Bozone Hefe Weizen",1288,0.06,25,220,"Hefeweizen",12,"Bozeman Brewing Company","Bozeman","MT"
"224","Evil Owl",2167,0.052,40,208,"American Amber / Red Ale",12,"Branchline Brewing Company","San Antonio","TX"
"225","Agave Wheat",1522,0.042,9,392,"American Pale Wheat Ale",12,"Breckenridge Brewery","Denver","CO"
"226","SummerBright Ale",397,0.045,15,392,"American Pale Wheat Ale",12,"Breckenridge Brewery","Denver","CO"
"227","Lucky U IPA",193,0.062,68,392,"American IPA",12,"Breckenridge Brewery","Denver","CO"
"228","Avalanche Ale",83,0.054,19,392,"American Amber / Red Ale",12,"Breckenridge Brewery","Denver","CO"
"229","Last Stop IPA",1801,0.072,60,309,"American IPA",12,"Brew Bus Brewing","Tampa","FL"
"230","Rollin Dirty Red Ale",1800,0.05,21,309,"Irish Red Ale",12,"Brew Bus Brewing","Tampa","FL"
"231","Are Wheat There Yet?",1799,0.055,28,309,"American Pale Wheat Ale",12,"Brew Bus Brewing","Tampa","FL"
"232","Northern Lights Amber Ale",921,0.05,15,494,"American Amber / Red Ale",12,"Broken Tooth Brewing Company","Anchorage","AK"
"233","Polar Pale Ale",920,0.052,17,494,"American Pale Ale (APA)",12,"Broken Tooth Brewing Company","Anchorage","AK"
"234","Fairweather IPA",648,0.061,64,494,"American IPA",12,"Broken Tooth Brewing Company","Anchorage","AK"
"235","East India Pale Ale",1279,0.068,47,438,"English India Pale Ale (IPA)",16,"Brooklyn Brewery","Brooklyn","NY"
"236","East India Pale Ale",566,0.068,47,438,"English India Pale Ale (IPA)",12,"Brooklyn Brewery","Brooklyn","NY"
"237","Black Adder IBA (Current)",383,0.073,85,531,"American Black Ale",16,"Buckbean Brewing Company","Reno","NV"
"238","Tule Duck Red Ale (Current)",28,0.062,42,531,"American Amber / Red Ale",16,"Buckbean Brewing Company","Reno","NV"
